entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-TECH-055,20日均线趋势判定,technical,f_te055_ma20_slope,1,kline,MA20 5日斜率（趋势方向代理）,5,-0.02289,-0.182,-6.013,1092,0.4176,-0.00907,-0.0811,-0.98,166.0,-0.0565,-0.408,-5.095,181.0,-0.01881,-0.1509,-4.24,867.0
FCT-TECH-055,20日均线趋势判定,technical,f_te055_ma20_slope,1,kline,MA20 5日斜率（趋势方向代理）,10,-0.03082,-0.2509,-8.291,1092,0.4139,-0.01573,-0.1396,-1.687,166.0,-0.06738,-0.5126,-6.403,181.0,-0.02639,-0.2168,-6.095,867.0
FCT-TECH-055,20日均线趋势判定,technical,f_te055_ma20_slope,1,kline,MA20 5日斜率（趋势方向代理）,20,-0.04251,-0.3564,-11.776,1092,0.3745,-0.01544,-0.13,-1.57,166.0,-0.08182,-0.7054,-8.81,181.0,-0.03975,-0.3361,-9.446,867.0
FCT-TECH-056,放量突破20日线,technical,f_te056_vol_break20,1,kline,5日量比×sign(价/MA20-1),5,-0.02064,-0.2097,-6.931,1092,0.4304,-0.00983,-0.1089,-1.315,166.0,-0.02097,-0.1783,-2.227,181.0,-0.02257,-0.236,-6.633,867.0
FCT-TECH-056,放量突破20日线,technical,f_te056_vol_break20,1,kline,5日量比×sign(价/MA20-1),10,-0.02134,-0.224,-7.402,1092,0.413,-0.00544,-0.056,-0.676,166.0,-0.0325,-0.3179,-3.97,181.0,-0.02208,-0.2369,-6.658,867.0
FCT-TECH-056,放量突破20日线,technical,f_te056_vol_break20,1,kline,5日量比×sign(价/MA20-1),20,-0.02532,-0.2775,-9.17,1092,0.3901,-0.0119,-0.1326,-1.603,166.0,-0.03505,-0.3682,-4.599,181.0,-0.02588,-0.2858,-8.032,867.0
FCT-TECH-057,红多绿少,technical,f_te057_red_green,1,kline,10日红绿差×(红量/绿量)（绿缩量代理）,5,-0.01991,-0.2281,-7.546,1094,0.3985,-0.00564,-0.0686,-0.829,166.0,-0.01141,-0.1109,-1.385,181.0,-0.02422,-0.2866,-8.064,867.0
FCT-TECH-057,红多绿少,technical,f_te057_red_green,1,kline,10日红绿差×(红量/绿量)（绿缩量代理）,10,-0.02452,-0.2743,-9.073,1094,0.3894,0.00025,0.0029,0.035,166.0,-0.02218,-0.2419,-3.021,181.0,-0.02955,-0.3343,-9.408,867.0
FCT-TECH-057,红多绿少,technical,f_te057_red_green,1,kline,10日红绿差×(红量/绿量)（绿缩量代理）,20,-0.02632,-0.2959,-9.788,1094,0.3665,0.00382,0.0398,0.481,166.0,-0.02996,-0.4001,-4.997,181.0,-0.03115,-0.3495,-9.835,867.0
FCT-TECH-058,月线20日均线支撑,technical,f_te058_ma250_support,1,kline,指数级口诀映射到个股 close/MA250,5,-0.01934,-0.1407,-4.094,847,0.4593,0.03582,0.3083,3.114,166.0,-0.05454,-0.437,-5.097,181.0,-0.02072,-0.1472,-3.632,867.0
