entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-MOM-008,历史新高因子,momentum,f_mom008_new_high,1,kline,close/历史滚动最高（≥250日窗）,5,-0.01503,-0.1238,-3.845,965,0.4342,-0.00465,-0.0495,-0.54,166.0,-0.03261,-0.2355,-2.747,181.0,-0.0134,-0.11,-2.93,867.0
FCT-MOM-008,历史新高因子,momentum,f_mom008_new_high,1,kline,close/历史滚动最高（≥250日窗）,10,-0.02106,-0.1732,-5.379,965,0.4404,-0.00681,-0.0791,-0.863,166.0,-0.04483,-0.3212,-3.746,181.0,-0.0189,-0.1542,-4.108,867.0
FCT-MOM-008,历史新高因子,momentum,f_mom008_new_high,1,kline,close/历史滚动最高（≥250日窗）,20,-0.02942,-0.2408,-7.48,965,0.3959,-0.01542,-0.1677,-1.83,166.0,-0.05646,-0.4627,-5.396,181.0,-0.02659,-0.211,-5.623,867.0
FCT-MOM-009,区间相对强弱RS,momentum,f_mom009_rs20,1,kline,个股20日动量-市场均值20日动量,5,-0.03781,-0.3003,-9.931,1094,0.3949,-0.03165,-0.2643,-3.193,166.0,-0.05032,-0.3719,-4.644,181.0,-0.03648,-0.2916,-8.206,867.0
FCT-MOM-009,区间相对强弱RS,momentum,f_mom009_rs20,1,kline,个股20日动量-市场均值20日动量,10,-0.04118,-0.3359,-11.11,1094,0.372,-0.02704,-0.2231,-2.695,166.0,-0.05282,-0.4063,-5.075,181.0,-0.0415,-0.3422,-9.631,867.0
FCT-MOM-009,区间相对强弱RS,momentum,f_mom009_rs20,1,kline,个股20日动量-市场均值20日动量,20,-0.05202,-0.4221,-13.961,1094,0.3519,-0.0289,-0.2342,-2.83,166.0,-0.06854,-0.488,-6.095,181.0,-0.05302,-0.4454,-12.533,867.0
FCT-MOM-017,二进三断板,momentum,f_mom017_limit_streak,1,kline,"连板天数计数（pct≥9.8% 近似,登记局限）",5,-0.01644,-0.3983,-13.175,1094,0.3044,-0.01395,-0.3609,-4.361,166.0,-0.01572,-0.3428,-4.282,181.0,-0.01704,-0.4175,-11.748,867.0
FCT-MOM-017,二进三断板,momentum,f_mom017_limit_streak,1,kline,"连板天数计数（pct≥9.8% 近似,登记局限）",10,-0.02742,-0.6691,-22.131,1094,0.2349,-0.02259,-0.5257,-6.352,166.0,-0.03004,-0.6451,-8.057,181.0,-0.02779,-0.7057,-19.859,867.0
FCT-MOM-017,二进三断板,momentum,f_mom017_limit_streak,1,kline,"连板天数计数（pct≥9.8% 近似,登记局限）",20,-0.03538,-0.9072,-30.005,1094,0.1664,-0.03368,-0.7942,-9.597,166.0,-0.03598,-0.8785,-10.972,181.0,-0.03558,-0.9366,-26.358,867.0
FCT-QUAL-001,综合质量,quality,f_qual001_roe_w,1,fundamental,QUAL-001 部分代理=加权ROE（其余维度未并）,5,0.00522,0.0465,1.538,1094,0.489,0.00653,0.0634,0.766,166.0,-0.01477,-0.1278,-1.596,181.0,0.00891,0.079,2.222,867.0
FCT-QUAL-001,综合质量,quality,f_qual001_roe_w,1,fundamental,QUAL-001 部分代理=加权ROE（其余维度未并）,10,0.0038,0.0323,1.07,1094,0.4698,0.01576,0.1462,1.767,166.0,-0.02246,-0.1907,-2.382,181.0,0.00677,0.0571,1.608,867.0
FCT-QUAL-001,综合质量,quality,f_qual001_roe_w,1,fundamental,QUAL-001 部分代理=加权ROE（其余维度未并）,20,0.00062,0.005,0.166,1094,0.4324,0.03853,0.308,3.721,166.0,-0.03989,-0.3799,-4.745,181.0,0.00161,0.0129,0.363,867.0
