因子ID,THS代码,因子名称,类别,频度,数据来源
FAC_0185,ths_total_top3_directors_salary_stock,Total Top3 Directors Salary,高管信息,年频,THS_BD
FAC_0186,ths_total_top3_sm_salary_stock,Total Top3 Sm Salary,高管信息,年频,THS_BD
FAC_0187,ths_sm_annual_total_salary_stock,Sm Annual Total Salary,高管信息,年频,THS_BD
FAC_0188,ths_chairman_held_num_stock,Chairman Held Num,高管信息,年频,THS_BD
FAC_0189,ths_gm_held_num_stock,Gm Held Num,员工信息,年频,THS_BD
FAC_0190,ths_cfo_held_num_stock,Cfo Held Num,高管信息,年频,THS_BD
FAC_0191,ths_secretary_held_num_stock,Secretary Held Num,高管信息,年频,THS_BD
FAC_0192,ths_representative_held_num_stock,Representative Held Num,员工信息,年频,THS_BD
FAC_0193,ths_supervisory_held_num_stock,Supervisory Held Num,高管信息,年频,THS_BD
FAC_0194,ths_onboard_staff_num_parent_co_stock,Onboard Staff Num Parent Co,员工信息,年频,THS_BD
FAC_0195,ths_onboard_staff_num_main_sub_stock,Onboard Staff Num Main Sub,员工信息,年频,THS_BD
FAC_0196,ths_salaried_staff_num_stock,Salaried Staff Num,员工信息,年频,THS_BD
FAC_0197,ths_production_staff_num_new_stock,Production Staff Num New,员工信息,年频,THS_BD
FAC_0198,ths_sales_staff_num_new_stock,Sales Staff Num New,员工信息,年频,THS_BD
FAC_0199,ths_financial_num_new_stock,Financial Num New,员工信息,年频,THS_BD
FAC_0200,ths_tech_num_new_stock,Tech Num New,员工信息,年频,THS_BD
FAC_0201,ths_executive_staff_num_new_stock,Executive Staff Num New,高管信息,年频,THS_BD
FAC_0202,ths_pur_num_new_stock,Pur Num New,员工信息,年频,THS_BD
FAC_0203,ths_rc_num_new_stock,Rc Num New,员工信息,年频,THS_BD
FAC_0204,ths_server_num_new_stock,Server Num New,员工信息,年频,THS_BD
FAC_0205,ths_hr_num_new_stock,Hr Num New,员工信息,年频,THS_BD
FAC_0206,ths_admin_num_new_stock,Admin Num New,员工信息,年频,THS_BD
FAC_0207,ths_other_marjor_num_new_stock,Other Marjor Num New,员工信息,年频,THS_BD
FAC_0208,ths_doctor_num_new_stock,Doctor Num New,员工信息,年频,THS_BD
FAC_0209,ths_postgraduate_num_new_stock,Postgraduate Num New,员工信息,年频,THS_BD
FAC_0210,ths_undergraduate_num_new_stock,Undergraduate Num New,员工信息,年频,THS_BD
FAC_0211,ths_junior_college_num_new_stock,Junior College Num New,员工信息,年频,THS_BD
FAC_0212,ths_high_school_num_new_stock,High School Num New,员工信息,年频,THS_BD
FAC_0213,ths_other_edu_num_new_stock,Other Edu Num New,员工信息,年频,THS_BD
FAC_0214,ths_production_num_ratio_new_stock,Production Num Ratio New,员工信息,年频,THS_BD
FAC_0215,ths_sales_num_ratio_new_stock,Sales Num Ratio New,员工信息,年频,THS_BD
FAC_0216,ths_financial_num_ratio_new_stock,Financial Num Ratio New,员工信息,年频,THS_BD
FAC_0217,ths_tech_num_ratio_new_stock,Tech Num Ratio New,员工信息,年频,THS_BD
FAC_0218,ths_executive_staff_ratio_new_stock,Executive Staff Ratio New,高管信息,年频,THS_BD
FAC_0219,ths_pur_num_ratio_new_stock,Pur Num Ratio New,员工信息,年频,THS_BD
FAC_0220,ths_rc_num_ratio_new_stock,Rc Num Ratio New,员工信息,年频,THS_BD
FAC_0221,ths_server_num_ratio_new_stock,Server Num Ratio New,员工信息,年频,THS_BD
FAC_0222,ths_hr_num_ratio_new_stock,Hr Num Ratio New,员工信息,年频,THS_BD
FAC_0223,ths_admin_num_ratio_new_stock,Admin Num Ratio New,员工信息,年频,THS_BD
FAC_0224,ths_other_marjor_num_ratio_new_stock,Other Marjor Num Ratio New,员工信息,年频,THS_BD
