factor,h,window,grp,n_days,ic_mean,ic_std,ic_ir,t_stat,avg_n,pos_share,avg_base_width,prior_coverage
alligator_jaw,20,OOS,MID,236,-0.00412721111483306,0.18911307681347753,-0.02182403874113758,-0.33526724475561737,5067.902542372882,0.5211864406779662,5353.771186440678,none
alligator_jaw,20,OOS,HIGH,236,-0.052440738357933156,0.22024464331170454,-0.23810221928401507,-3.6577956984229822,5010.779661016949,0.4322033898305085,5350.775423728814,none
alligator_lips,5,IS,total,724,-0.04595320298640982,0.17775644981895264,-0.2585177811168809,-6.9560020732604135,4568.167127071823,0.43784530386740333,4639.7790055248615,none
alligator_lips,5,IS,LOW,281,-0.024245072498544688,0.17407532038536858,-0.1392792065231927,-2.3347449455763205,4673.106761565837,0.49110320284697506,4735.227758007118,none
alligator_lips,5,IS,MID,280,-0.05520708429960247,0.1747479678257873,-0.3159240418443118,-5.286420344644286,4495.578571428571,0.41785714285714287,4588.332142857143,none
alligator_lips,5,IS,HIGH,163,-0.0674801839643004,0.18606637196791198,-0.3626672743204649,-4.630225799426499,4511.950920245399,0.3803680981595092,4563.60736196319,none
alligator_lips,5,OOS,total,654,-0.022611665823649055,0.19247129025011261,-0.11748072034154104,-3.004384238473279,5221.474006116208,0.44954128440366975,5348.909785932722,none
alligator_lips,5,OOS,LOW,167,-0.012953203349267375,0.18097855071508154,-0.07157314111582143,-0.9249288223284768,5123.976047904192,0.47904191616766467,5329.209580838324,none
alligator_lips,5,OOS,MID,249,-0.028159976906894667,0.16863384738661366,-0.16698887763815579,-2.6350400430463843,5235.3293172690765,0.42971887550200805,5359.44578313253,none
alligator_lips,5,OOS,HIGH,238,-0.02358407663664729,0.22197368459523703,-0.10624717375689019,-1.6391015647774185,5275.390756302521,0.4495798319327731,5351.710084033613,none
alligator_lips,10,IS,total,724,-0.06317775266222317,0.18181674334238304,-0.34748038877394133,-9.349741028591238,4498.625690607735,0.3743093922651934,4639.7790055248615,none
alligator_lips,10,IS,LOW,281,-0.047564459876430105,0.1748337416972139,-0.27205537909727223,-4.560479177905399,4612.11743772242,0.3914590747330961,4735.227758007118,none
alligator_lips,10,IS,MID,280,-0.06135743365090265,0.18073353932169497,-0.33949113087245003,-5.680773171276547,4410.946428571428,0.3964285714285714,4588.332142857143,none
alligator_lips,10,IS,HIGH,163,-0.0932208483430673,0.19263854552215917,-0.48391586476313037,-6.1782241752481,4453.588957055214,0.3067484662576687,4563.60736196319,none
alligator_lips,10,OOS,total,649,-0.026073014079867077,0.20084521191701418,-0.12981645831138858,-3.3071363804180507,5115.9198767334365,0.44992295839753466,5348.050847457627,none
alligator_lips,10,OOS,LOW,167,0.005940834951678447,0.19305151624097439,0.030773314125452745,0.3976788603861825,4928.934131736527,0.5329341317365269,5329.209580838324,none
alligator_lips,10,OOS,MID,244,-0.04247562791526682,0.17121656928018095,-0.24808129314727229,-3.875153678803974,5162.237704918033,0.38524590163934425,5357.377049180328,none
