factor,h,window,grp,n_days,ic_mean,ic_std,ic_ir,t_stat,avg_n,pos_share,avg_base_width,prior_coverage
adosc,20,OOS,LOW,167,-0.09099441746340343,0.1558765872409009,-0.583759364212762,-7.543833522561107,4601.652694610779,0.2874251497005988,5329.209580838324,l1_pending
adosc,20,OOS,MID,236,-0.10180749355027686,0.17926372352127667,-0.567920221394896,-8.724555987392007,5067.902542372882,0.3474576271186441,5353.771186440678,l1_pending
adosc,20,OOS,HIGH,236,-0.1512893652673912,0.1927740155939369,-0.7848016487142655,-12.056351693883707,5010.779661016949,0.2627118644067797,5350.775423728814,l1_pending
adx_14,5,IS,total,701,-0.0003700085654750219,0.06783976311035404,-0.005454154739207062,-0.14440640757033468,4586.871611982881,0.4978601997146933,4662.788873038517,none
adx_14,5,IS,LOW,280,-0.002774081943432431,0.06972041619903649,-0.03978866011804972,-0.6657916286024559,4674.839285714285,0.4928571428571429,4738.15,none
adx_14,5,IS,MID,258,-0.005537566227736381,0.06416634334491872,-0.0863001682668722,-1.3861859590494117,4540.174418604651,0.4689922480620155,4643.662790697675,none
adx_14,5,IS,HIGH,163,0.01193901243263237,0.06912177198792996,0.17272433980305307,2.2051967491235986,4509.674846625767,0.5521472392638037,4563.60736196319,none
adx_14,5,OOS,total,654,-0.0027580026716952657,0.09914187885150372,-0.027818745253216814,-0.7114205593044426,5173.40366972477,0.4541284403669725,5348.909785932722,none
adx_14,5,OOS,LOW,167,-0.03282436556382615,0.08567212335967174,-0.38313939560038374,-4.951252165764895,5121.700598802395,0.30538922155688625,5329.209580838324,none
adx_14,5,OOS,MID,249,0.0004936223624901086,0.08248944980731263,0.005984066612677896,0.09442697841727549,5111.522088353414,0.46586345381526106,5359.44578313253,none
adx_14,5,OOS,HIGH,238,0.014937072830295066,0.11772061043360167,0.12688579149629936,1.9574986518276023,5274.424369747899,0.5462184873949579,5351.710084033613,none
adx_14,10,IS,total,701,0.0016093947338273987,0.0650502896010025,0.024740777384680484,0.6550468319016743,4515.435092724679,0.5135520684736091,4662.788873038517,none
adx_14,10,IS,LOW,280,0.003686268747200813,0.06493027568492081,0.05677272594819584,0.9499894079645866,4613.782142857143,0.525,4738.15,none
adx_14,10,IS,MID,258,-0.011121790710516681,0.0625101737264824,-0.17791968966813063,-2.8578133810089503,4449.139534883721,0.45348837209302323,4643.662790697675,none
adx_14,10,IS,HIGH,163,0.018192959892699895,0.06543986905428116,0.2780103346112929,3.5493983465597845,4451.429447852761,0.588957055214724,4563.60736196319,none
adx_14,10,OOS,total,649,-0.0018440397594558019,0.09537096710297872,-0.019335441544434197,-0.4925796235301786,5107.294298921418,0.4345146379044684,5348.050847457627,none
adx_14,10,OOS,LOW,167,-0.03987147924604289,0.07171075352148519,-0.5560041874904722,-7.185157593028771,4927.275449101797,0.25748502994011974,5329.209580838324,none
adx_14,10,OOS,MID,244,-0.009698715308101392,0.07610006951853598,-0.12744686528491328,-1.9907836765736258,5141.102459016393,0.42213114754098363,5357.377049180328,none
adx_14,10,OOS,HIGH,238,0.03289177212344154,0.11417169823100776,0.2880904167413751,4.444442484264608,5198.949579831933,0.5714285714285714,5351.710084033613,none
adx_14,20,IS,total,701,0.005052960305297854,0.06362491469508187,0.07941795017743956,2.1027017805862953,4373.557774607703,0.4764621968616263,4662.788873038517,none
adx_14,20,IS,LOW,280,0.014265427830326024,0.06331914024865529,0.22529408602683892,3.7698911198637073,4489.489285714286,0.5535714285714286,4738.15,none
adx_14,20,IS,MID,258,-0.018734031287313307,0.05602825401400099,-0.3343675725221034,-5.3707384759468235,4291.143410852713,0.31007751937984496,4643.662790697675,none
adx_14,20,IS,HIGH,163,0.026878438365946885,0.0638737333796845,0.42080581396696265,5.372488984646583,4304.858895705522,0.6073619631901841,4563.60736196319,none
adx_14,20,OOS,total,639,-0.0018704087671646598,0.09844114221029945,-0.019000274937575515,-0.4802974870666212,4924.471048513302,0.4538341158059468,5346.245696400626,none
adx_14,20,OOS,LOW,167,-0.04070808633264962,0.06790675890325741,-0.5994703176843402,-7.746863785947327,4600.952095808383,0.25149700598802394,5329.209580838324,none
adx_14,20,OOS,MID,236,-0.012165786619140228,0.08441258240862896,-0.14412290528262048,-2.214058082164141,5067.427966101695,0.4406779661016949,5353.771186440678,none
adx_14,20,OOS,HIGH,236,0.03590756295530238,0.1153891809645539,0.3111865658040569,4.780538733439333,5010.4449152542375,0.6101694915254238,5350.775423728814,none
alligator_jaw,5,IS,total,719,-0.04344818919970592,0.17882491533259495,-0.24296496446760227,-6.514905162497485,4572.613351877608,0.44089012517385257,4644.794158553546,none
alligator_jaw,5,IS,LOW,280,-0.022073660583936637,0.17484520902582468,-0.126246871200665,-2.112514212171848,4675.796428571429,0.4928571428571429,4738.15,none
alligator_jaw,5,IS,MID,276,-0.052824169745629194,0.17623827191397176,-0.2997315462297234,-4.979514428762306,4503.86231884058,0.42391304347826086,4598.032608695652,none
alligator_jaw,5,IS,HIGH,163,-0.06428927743124319,0.18702879953463597,-0.34373998866060956,-4.38857839261378,4511.7791411042945,0.3803680981595092,4563.60736196319,none
alligator_jaw,5,OOS,total,654,-0.019008097416163775,0.1910440129647205,-0.09949590736284387,-2.544450995912275,5182.363914373089,0.463302752293578,5348.909785932722,none
alligator_jaw,5,OOS,LOW,167,-0.010159843449996734,0.18005837127626198,-0.05642527685873919,-0.7291752752622352,5123.976047904192,0.48502994011976047,5329.209580838324,none
alligator_jaw,5,OOS,MID,249,-0.02599064011165239,0.16455581991397977,-0.15794421689393173,-2.4923177038469833,5132.606425702811,0.43373493975903615,5359.44578313253,none
alligator_jaw,5,OOS,HIGH,238,-0.01791148095050508,0.22228375383591945,-0.08057935247812391,-1.2431177043622654,5275.390756302521,0.4789915966386555,5351.710084033613,none
alligator_jaw,10,IS,total,719,-0.060707450660388226,0.1821765638740989,-0.3332341403823094,-8.935398674678488,4502.596662030598,0.3741307371349096,4644.794158553546,none
alligator_jaw,10,IS,LOW,280,-0.04515473894251479,0.17518527440498677,-0.2577541925020921,-4.313052590761392,4614.589285714285,0.38571428571428573,4738.15,none
alligator_jaw,10,IS,MID,276,-0.059745547382848194,0.18056148322706345,-0.33088755317608753,-5.497116890310124,4418.025362318841,0.391304347826087,4598.032608695652,none
alligator_jaw,10,IS,HIGH,163,-0.08905250946778466,0.19408068759351016,-0.4588427141926638,-5.858111617913537,4453.417177914111,0.32515337423312884,4563.60736196319,none
alligator_jaw,10,OOS,total,649,-0.02132689029444482,0.1998780160652474,-0.10669952961451724,-2.718221562594475,5108.187981510016,0.4622496147919877,5348.050847457627,none
alligator_jaw,10,OOS,LOW,167,0.009309891582597008,0.19220791296933595,0.04843656766660938,0.6259384007893899,4928.934131736527,0.5508982035928144,5329.209580838324,none
alligator_jaw,10,OOS,MID,244,-0.03954265767970608,0.168881198194042,-0.23414481956879624,-3.6574590023048255,5141.672131147541,0.4057377049180328,5357.377049180328,none
alligator_jaw,10,OOS,HIGH,238,-0.024149139586302958,0.23044198626276832,-0.10479487691434053,-1.6166966203165776,5199.638655462185,0.4579831932773109,5351.710084033613,none
alligator_jaw,20,IS,total,719,-0.08362597579984057,0.1831494900172147,-0.45659955587089185,-12.243340558403798,4363.5076495132125,0.35048678720445064,4644.794158553546,none
alligator_jaw,20,IS,LOW,280,-0.08249250693114103,0.167454027489895,-0.49262778666890555,-8.243239541316589,4489.903571428571,0.3,4738.15,none
alligator_jaw,20,IS,MID,276,-0.08688044955848681,0.18912325917989914,-0.45938532328191206,-7.63188217729573,4269.159420289855,0.36231884057971014,4598.032608695652,none
alligator_jaw,20,IS,HIGH,163,-0.08006239620382538,0.19906509534711672,-0.40219203705309464,-5.134844189557616,4306.141104294478,0.4171779141104294,4563.60736196319,none
alligator_jaw,20,OOS,total,639,-0.02012430524691602,0.19972383259848311,-0.1007606602832078,-2.547073244371355,4924.953051643192,0.4835680751173709,5346.245696400626,none
alligator_jaw,20,OOS,LOW,167,0.002937754627505916,0.17784006041376677,0.01651908248721277,0.2134735918061757,4601.652694610779,0.5029940119760479,5329.209580838324,none
