family,level,exec_model,symbol,status,n_days,n_trades,net_p25_bp,net_p50_bp,net_p75_bp,net_mean_bp,days_ratio_ge12bp,h1_mean_bp,h2_mean_bp,split_same_sign,field_signed_day_share,median_spread_bp,fill_rate_entry,fill_rate_exit,as_stat_bp,p_sign,q_bh,highlight
S3,60s,M1,510300,ok,172,172,-32.0018,-6.3880,21.9125,-7.6648,0.3198,-8.7836,-6.0734,True,0.9128,2.1582,,,,0.9604,1.0000,
S3,60s,M1,512170,ok,184,184,-62.2930,-8.0480,23.1105,-14.6468,0.3478,-16.1775,-12.5667,True,0.9185,29.6296,,,,1.0000,1.0000,
S3,60s,M1,512010,ok,198,198,-56.1771,-8.0480,20.0322,-14.5535,0.3939,-18.5959,-8.0644,True,0.9242,26.4901,,,,0.9989,1.0000,
S3,60s,M2,510300,ok,15,15,-29.6225,-6.0114,14.7801,-1.7894,0.2667,,-1.7894,nan,0.0000,2.1582,0.5333,0.6667,1.5468,0.8491,1.0000,
S3,60s,M2,512170,ok,15,15,-88.6434,-20.4790,31.7545,-39.7003,0.2667,,-39.7003,nan,0.0000,29.6296,0.5333,0.4667,0.0643,0.9408,1.0000,
S3,60s,M2,512010,ok,15,15,-36.5323,34.0627,56.8370,-8.3726,0.5333,,-8.3726,nan,0.0000,26.4901,0.6667,0.8667,3.6646,0.5000,1.0000,
S4,1s,M1,510300,insufficient_data,7,1378,-6.3880,-6.3880,-4.2324,-6.1980,0.0000,,-6.1622,nan,0.0000,2.1591,,,,,,
S4,1s,M1,512170,insufficient_data,2,25,-9.7080,-9.7080,-9.7080,-4.4796,0.0000,,-0.9034,nan,0.0000,29.9402,,,,,,
S4,1s,M1,512010,insufficient_data,3,452,-9.7080,-9.7080,-6.3880,-8.3753,0.0000,,-8.2198,nan,0.0000,26.9906,,,,,,
S4,1s,M2,510300,insufficient_data,7,723,-6.3880,-5.1234,-0.8086,-4.4707,0.0000,,-4.4587,nan,0.0000,2.1591,0.2583,0.5975,0.0832,,,
S4,1s,M2,512170,insufficient_data,2,12,-12.0748,-9.7080,10.9053,-3.8801,0.0000,,-2.2927,nan,0.0000,29.9402,0.0833,0.3333,-29.8063,,,
S4,1s,M2,512010,insufficient_data,3,183,-9.7080,-6.3880,7.7873,-5.6476,0.0000,,-6.4966,nan,0.0000,26.9906,0.1368,0.2842,-4.6856,,,
S4,10s,M1,510300,insufficient_data,7,158,-10.1681,-6.3880,1.7071,-4.4671,0.0000,,-4.4751,nan,0.0000,2.1591,,,,,,
S4,10s,M1,512170,insufficient_data,2,7,-22.9290,-9.7080,20.3220,-0.0897,0.0000,,2.5927,nan,0.0000,29.9402,,,,,,
S4,10s,M1,512010,insufficient_data,3,50,-9.7080,-9.7080,-6.3880,-8.6267,0.0000,,-8.5791,nan,0.0000,26.9906,,,,,,
S4,10s,M2,510300,insufficient_data,7,142,-12.2770,-6.3880,-0.7825,-6.4814,0.0000,,-6.5481,nan,0.0000,2.1591,0.2664,0.4507,0.1224,,,
S4,10s,M2,512170,insufficient_data,2,7,-24.6334,-9.7080,5.3070,-5.5285,0.0000,,-2.4208,nan,0.0000,29.9402,0.2857,0.1429,-29.9861,,,
S4,10s,M2,512010,insufficient_data,3,44,-9.7080,-8.0480,7.7918,-6.0923,0.0000,,-6.5839,nan,0.0000,26.9906,0.1970,0.1818,-4.1524,,,
S4,60s,M1,510300,insufficient_data,7,31,-15.1493,-4.2314,15.1617,-1.8759,0.0000,,-2.0393,nan,0.0000,2.1591,,,,,,
S4,60s,M1,512170,insufficient_data,2,3,5.3070,20.3220,22.0273,11.4488,0.5000,,14.5197,nan,0.0000,29.9402,,,,,,
S4,60s,M1,512010,insufficient_data,3,10,-9.7080,-8.0480,20.4217,4.8166,0.3333,,0.1126,nan,0.0000,26.9906,,,,,,
S4,60s,M2,510300,insufficient_data,7,31,-15.5446,-6.3880,13.7533,-2.7531,0.0000,,-2.9017,nan,0.0000,2.1591,0.3696,0.2903,-1.5895,,,
S4,60s,M2,512170,insufficient_data,2,3,-0.2117,9.2845,10.0921,3.4921,0.0000,,5.3440,nan,0.0000,29.9402,0.0000,0.6667,,,,
S4,60s,M2,512010,insufficient_data,3,10,-18.6931,-9.7080,11.3923,-5.3369,0.0000,,-9.2793,nan,0.0000,26.9906,0.0625,0.1000,0.0000,,,
