,FACT-4db4c41e,FACT-4f749668,FACT-4228020a,FACT-e293e217,FACT-4b200528,FACT-e831084c,CAND-8d000bf3ccc3,CAND-c4ec6332c07f,CAND-e3da6fa71af1,CAND-4440d07f973f,CAND-a4543012b464,CAND-eaddc3f9db4e,CAND-29eb91dbaf60,CAND-d06cab686cef,CAND-9c0424f53fe4,CAND-14d3e787ea4b,CAND-1970782c2adb,CAND-fdbc279fba99,CAND-e2e7f033d97c,CAND-6a6ec8869ddb,CAND-751983843b3f,CAND-bd42540f86e4,VAL-DIV-STEADY-005,CAND-2e4d39a3f50b,CAND-4879b2c6f2bb,CAND-4da841c734ae,CAND-a5ac9cc45ab3,VAL-PE-LOW-020,VAL-WIZ-VALUE1-020,CAND-ab4dc295d8eb,CAND-347a7638d04b,CAND-25028ae0c266,CAND-a016c519e8bd,CAND-6ba459329476,CAND-b1ab2a40225a,VAL-DIV-NOPEG-020,VAL-DIV-HIGH-020,CAND-68cc0a6b40ba,VAL-PB-LOW-020,CAND-3238a5ce80c8,VAL-PEPB-DOUBLE-020,VAL-WIZ-CITICS-020,CAND-091fee38cd01,CAND-65ae80c577c9,CAND-5e3284032a17,VAL-PB-LOWTURN-035,CAND-99873fd0bc17,CAND-bb0b9f37ce93,CAND-9519cb55d6b7,VAL-PE-ZZ500-020,CAND-38cceabf3946,CAND-b1fb7e2246dd,CAND-e8017cc1adc5,CAND-79ae77fb3af7,VAL-DIV-PRETTY50-010,CAND-0319395c57a7,CAND-2b351fd05d5f,CAND-6cb29d4d9ba8,CAND-9c0136ec8f42,CAND-c30a620e114d,CAND-c21459b71a42,CAND-e40a0a1bcda8
CAND-a4543012b464,0.4269508485234132,0.4275584319330793,0.41165557382119533,0.35814447766806035,0.4229164548699379,0.403465168783368,0.3775713750823001,0.2240204359280481,0.11686304542022863,0.05552077944647704,1.0,0.20863853384944994,0.28353207651001694,0.196971704730384,0.032268236765594004,,,,0.06489494256547679,0.20164486732988654,0.05795954970677431,0.2535609034509359,-0.018149284809535867,0.1762716675401088,0.0307554105964341,0.18381701164795933,0.14665203682890562,0.03223631484707802,0.046769093335306246,0.023855119678047883,0.004899691799269782,0.08529245617634046,,,0.013882165987511236,0.049235881721110084,0.03449862647443945,-0.01800563287376829,0.00866214977907318,0.05392853729449196,0.0018636905046526412,-0.029993025874647816,0.06656949162600971,0.044239563513085486,0.09264963867496238,0.0072845894184167875,0.3212516533386613,0.023192537896017048,0.040011747548245345,0.041571147006125964,0.01890989581818304,0.028221026928166065,-0.009117645806185843,0.0384887828017304,0.12789089991296343,0.03360475004760223,0.06673885592943866,0.07232446062194713,0.16672907193752937,0.07076944347792856,0.06721361714838552,0.11091144004973356
CAND-eaddc3f9db4e,0.6582134276102737,0.6413272523167829,0.6399352967531123,0.6378618131789723,0.59939523141197,0.644813610471354,0.5056789407962915,0.28389175684538576,0.08858453297292554,0.1886014385252646,0.20863853384944994,1.0,0.263236505901784,0.9870940130396287,0.01670485132528399,,,,0.2594708613955812,0.4835313087648092,0.2903824898528124,0.6407982635587087,0.2684734038729104,0.40019168420368134,0.3379570262461545,0.45445322690495027,0.43963099348500767,0.024111867064068482,0.3577981840229893,0.28219995092776223,0.3473258244210757,0.4232094402627127,,,0.3584762955108923,0.3614471219025759,0.22426216523649223,0.028170038715351176,0.015838164518369852,0.3654958619209816,0.34957815992895636,0.020535445921486973,-0.04622653322671967,0.33771654523388345,0.49694904428860265,0.04249575937200852,0.5881214045760542,0.3239412504637735,0.306824507610573,0.32726316256994314,0.3745948343306858,0.3158424708327906,0.016250527603119146,0.3351415796359082,0.37113379552850456,0.29457098145052846,0.14634067773977358,0.0032820933610725345,0.04409145045046905,0.5042554569788508,0.507891772571726,0.27059290346738024
CAND-29eb91dbaf60,0.5859578474747533,0.5817342732504446,0.5949271185001191,0.5934271627213675,0.5605950157318564,0.5232837109811795,0.45173146171312056,0.518032007094004,0.36984005574029133,0.13481422035091561,0.28353207651001694,0.263236505901784,1.0,0.271981655027363,0.12696292804215595,,,,0.21323362981444283,0.4140597887595448,0.04609630378356444,0.4767322456273478,0.026146516238390875,0.2058709721983029,0.046985893962412505,0.2024966069058617,0.183031259675325,0.029873375510244486,0.0569163812338848,0.02023403014732833,0.03349489852520639,0.21287484257086844,,,0.03384841542948255,0.05774544491173456,0.033868238312114614,0.04411441769073493,0.02197253156615675,0.18151736673376007,0.020570943065475064,0.02327550634590851,0.07858467921580788,0.0770860487055397,0.17570456807340382,0.06322993363721567,0.4599012487450596,0.07156952872627374,0.07620478487262877,0.019527172066843287,0.03280705244300299,0.07195540200570194,-0.05667279098821281,0.06782938487588597,0.15139706346849705,0.08405725122579193,0.27380746115393456,0.0025793612083579893,0.08397154036440957,0.3877704575768964,0.38738832585772426,0.10698819939858761
CAND-d06cab686cef,0.6563192537313819,0.6351081756275998,0.6365432257732689,0.634022570739888,0.5930376524580452,0.6411738354890893,0.4961900955545069,0.28520183319161385,0.09824978380491414,0.19294204489936984,0.196971704730384,0.9870940130396287,0.271981655027363,1.0,0.016819654461176073,,,,0.26281645427706185,0.47622357304698,0.2897852899466073,0.6339432880665268,0.26900802042578903,0.39427629944368786,0.3447766650755306,0.44678824047794763,0.4318998669333257,0.02383251565603205,0.3636037037660684,0.28752843367378345,0.3526487132905725,0.4159808482609619,,,0.3633009643469697,0.3674858505914537,0.22646615629371064,0.0282349866004301,0.015260315706648188,0.3657908519491157,0.3533256437981946,0.018612977747785225,-0.03650040238441251,0.34699748940544073,0.493904283673742,0.04709512631816141,0.5798447713299991,0.335436154305817,0.3144974439793503,0.3285698569931452,0.38183806012498156,0.3230661660600484,0.016018454396668064,0.34422115074400167,0.3495004044290158,0.3025713223015368,0.13894434782626108,0.003019554839323512,0.04640981948548275,0.49696098024339547,0.50052575129938,0.2706001492765203
CAND-9c0424f53fe4,0.1784820519958512,0.16077421204294884,0.15675276891860598,0.1691073141939745,0.19480143002742503,0.11515147259862724,0.05682989485177923,0.17023333818743583,0.3492445859558571,0.005110436055168892,0.032268236765594004,0.01670485132528399,0.12696292804215595,0.016819654461176073,1.0,,,,0.054489962859276986,0.14190794994908357,0.1152826159312436,0.061554259700825946,0.05005845632106791,-0.025231974201276514,0.08621067001838849,0.12209740582861596,0.1881471294194752,0.0008405381187224892,0.10087668241606015,0.02246329055158358,0.055814992574297374,0.06521245006648227,,,0.05508274976108909,0.1086597017713331,0.0987245169079187,0.06051338802451731,-0.0010053956813934446,0.12343916566446311,0.0322290918865366,0.0957897690499258,0.16677476710451236,0.1577107014885157,-0.01841827758368502,0.1515484992520991,0.09284083562316779,0.13672293792592846,0.15882268169547245,0.049010547640547734,0.04158842788942321,0.14600896873921207,-0.00042095210004098975,0.1294447158289084,0.13223982779026075,0.16946743261705915,0.004125634556119483,-0.00027571639269092455,0.0516977956142168,-0.05701376067674106,-0.06687063582116065,0.021378959823632845
CAND-14d3e787ea4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-1970782c2adb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-fdbc279fba99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAND-e2e7f033d97c,0.2935196295985518,0.26803753221487947,0.26842952490607014,0.293637445984139,0.26790909998966883,0.2680308095883728,0.16913152844960547,0.17079421895599892,0.1542724404421574,0.06301871078210161,0.06489494256547679,0.2594708613955812,0.21323362981444283,0.26281645427706185,0.054489962859276986,,,,1.0,0.2720614669956709,-0.04552325696362703,0.2509841849673674,0.13064880940620582,0.2246149354460505,0.03739892618711285,0.1412489514030812,0.16032407487576467,-0.03169350211080052,0.05527878154609521,0.08979537419783148,0.11116673109917093,0.15066458989831055,,,0.096394327448925,0.08658301877965888,0.07248544884870528,0.025972275056494694,-0.03164135036087695,0.13379369991095938,0.09556279393731666,-0.034576568490782764,-0.10580264083758056,0.06685889330063373,0.17726678389724448,-0.034559360711881947,0.2811014025822164,0.08967891980968065,0.0766469384934768,0.02267732787058652,0.09129863867560453,0.10591314880381485,0.07283527075469563,0.10283766063118978,0.15307107644886878,0.06594033828250345,0.12834925494521265,0.021883763269069018,0.0009610277411394948,0.14804048205718823,0.14497896160918144,0.14845833192165941
CAND-6a6ec8869ddb,0.6599017961870824,0.6791561918531583,0.6748238817950162,0.7038485216993645,0.6654708343475444,0.62182045610344,0.3698425263105282,0.3266262072829187,0.37552123697926054,0.21851227278442406,0.20164486732988654,0.4835313087648092,0.4140597887595448,0.47622357304698,0.14190794994908357,,,,0.2720614669956709,1.0,0.16015465932875628,0.5520127158075288,0.1824117146384022,0.2735338542761819,0.21664751671613405,0.3138843960386506,0.32348214705614425,-0.0463671479345166,0.20993943205038243,0.13787388911536122,0.19598207808119064,0.3461802780215682,,,0.19782241992535646,0.23502591514681237,0.17474666440288353,0.057630746395371434,-0.011751543836723817,0.2879420147061502,0.18188922172579886,0.030169945205833874,0.030840133378035588,0.25494932108311485,0.2602777056983581,0.047769211234277444,0.5454406422303358,0.22612986091309156,0.23569272250420223,0.17624970661137038,0.22043392837544684,0.23506429943386786,-0.032304318485344534,0.23752290566093717,0.34384321543008645,0.25675414516500855,0.3382072393454529,0.04921802844466484,0.03268406119501821,0.28940566649484706,0.29159037203528354,0.21242833467761502
