panel,signal,horizon,period,bucket,n_days,ic_mean,ic_ir,t_stat,ic_pos_rate
clean_442_main,S5_rel_str20,20,ALL,ALL,965,-0.0128231379815301,-0.0383736924977481,-1.1920576186807494,0.5181347150259067
clean_442_main,S5_rel_str20,20,IS,ALL,568,-0.0326545730381988,-0.1017741673278644,-2.4255583449670155,0.4947183098591549
clean_442_main,S5_rel_str20,20,IS,LOW,237,-0.0164602121918087,-0.060042737723681,-0.9243461979935208,0.5021097046413502
clean_442_main,S5_rel_str20,20,IS,MID,162,-0.0361187168902246,-0.1089092519387726,-1.3861884704374852,0.5061728395061729
clean_442_main,S5_rel_str20,20,IS,HIGH,169,-0.052044349467585,-0.1412756965893235,-1.8365840556612063,0.4733727810650887
clean_442_main,S5_rel_str20,20,OOS,ALL,397,0.0155503005882124,0.0443279736760615,0.8832286183879952,0.5516372795969773
clean_442_main,S5_rel_str20,20,OOS,LOW,92,0.0422375418460597,0.1926462459530955,1.8477978783794224,0.6739130434782609
clean_442_main,S5_rel_str20,20,OOS,MID,181,0.0552232894187223,0.1497199727386222,2.0142762255635485,0.56353591160221
clean_442_main,S5_rel_str20,20,OOS,HIGH,124,-0.0621596766218217,-0.1591196755963359,-1.771881718420706,0.4435483870967742
clean_442_main,S6_vol20,5,ALL,ALL,980,0.0071460506164479,0.0175791671852694,0.5503149793973462,0.5051020408163265
clean_442_main,S6_vol20,5,IS,ALL,568,-0.008996309407659,-0.0216580150768966,-0.516170071290824,0.4859154929577465
clean_442_main,S6_vol20,5,IS,LOW,237,-0.0641601428891095,-0.1694557324514989,-2.608737841711914,0.4177215189873418
clean_442_main,S6_vol20,5,IS,MID,162,0.0250295272271609,0.0640562413666984,0.8153028476588645,0.5370370370370371
clean_442_main,S6_vol20,5,IS,HIGH,169,0.0357471402980389,0.0749956585278211,0.9749435608616748,0.5325443786982249
clean_442_main,S6_vol20,5,OOS,ALL,412,0.0294005663778382,0.0747421018129825,1.5170989732940845,0.5315533980582524
clean_442_main,S6_vol20,5,OOS,LOW,92,0.0220842022298666,0.0735778410074439,0.7057338586415819,0.5543478260869565
clean_442_main,S6_vol20,5,OOS,MID,194,0.0171382121885636,0.042685140899156,0.5945352161097573,0.5257731958762887
clean_442_main,S6_vol20,5,OOS,HIGH,126,0.053622806174129,0.1219295542079093,1.3686558515042335,0.5238095238095238
clean_442_main,S6_vol20,10,ALL,ALL,975,0.0060465489663055,0.0149789482889523,0.4677175104131014,0.5015384615384615
clean_442_main,S6_vol20,10,IS,ALL,568,-0.0126279802488022,-0.0309958857363234,-0.7387172136243996,0.4630281690140845
clean_442_main,S6_vol20,10,IS,LOW,237,-0.0585766512909658,-0.1626561220488304,-2.504059170121878,0.3839662447257383
clean_442_main,S6_vol20,10,IS,MID,162,-0.0016711025836282,-0.0040315075258052,-0.0513127135782265,0.4938271604938271
clean_442_main,S6_vol20,10,IS,HIGH,169,0.0413058709656035,0.0907168686600264,1.1793192925803442,0.5443786982248521
clean_442_main,S6_vol20,10,OOS,ALL,407,0.0321082998119598,0.080790680405295,1.6298906571984098,0.5552825552825553
clean_442_main,S6_vol20,10,OOS,LOW,92,0.0755740917009553,0.3023343271429552,2.89988899338345,0.6521739130434783
clean_442_main,S6_vol20,10,OOS,MID,189,0.0043853654635068,0.0103524078848441,0.1423220782720674,0.5185185185185185
clean_442_main,S6_vol20,10,OOS,HIGH,126,0.0419557739236266,0.0950135337101161,1.066524270749853,0.5396825396825397
clean_442_main,S6_vol20,20,ALL,ALL,965,0.0171442731495812,0.0428622108352712,1.331490968263843,0.5523316062176166
clean_442_main,S6_vol20,20,IS,ALL,568,0.0063004253979087,0.0155751457788325,0.3711985645259305,0.5123239436619719
clean_442_main,S6_vol20,20,IS,LOW,237,0.007002759667217,0.0173024654211978,0.2663680693841968,0.4978902953586498
clean_442_main,S6_vol20,20,IS,MID,162,0.0206683804811023,0.0507970731642605,0.646541188179801,0.5679012345679012
clean_442_main,S6_vol20,20,IS,HIGH,169,-0.0084573375920523,-0.0209421237453116,-0.2722476086890509,0.4792899408284023
clean_442_main,S6_vol20,20,OOS,ALL,397,0.0326588966330824,0.0830174375673645,1.6541107252175584,0.6095717884130982
clean_442_main,S6_vol20,20,OOS,LOW,92,0.1041669479931629,0.3673455528514401,3.5234547646273504,0.7282608695652174
clean_442_main,S6_vol20,20,OOS,MID,181,0.0351768209413192,0.0797417851447583,1.0728159981801064,0.5911602209944752
clean_442_main,S6_vol20,20,OOS,HIGH,124,-0.024070821309807,-0.0628008175599073,-0.6993203079332835,0.5483870967741935
clean_442_main,S7_amt_chg,5,ALL,ALL,981,0.0007795887649915,0.0035121186922507,0.110002786928315,0.5045871559633027
clean_442_main,S7_amt_chg,5,IS,ALL,569,-0.0020258557068867,-0.0095345752037012,-0.2274350956542438,0.5096660808435852
clean_442_main,S7_amt_chg,5,IS,LOW,237,0.0047455617144514,0.0230231797538252,0.3544373470961215,0.5274261603375527
clean_442_main,S7_amt_chg,5,IS,MID,163,-0.0297776816514472,-0.1515426771584378,-1.9347673837070136,0.4417177914110429
clean_442_main,S7_amt_chg,5,IS,HIGH,169,0.015244686897292,0.0652363941913408,0.848073124487431,0.5502958579881657
clean_442_main,S7_amt_chg,5,OOS,ALL,412,0.0046540982419302,0.0198331090142747,0.4025681455690546,0.4975728155339806
clean_442_main,S7_amt_chg,5,OOS,LOW,92,-0.0201194951068088,-0.0909310948625654,-0.8721804223824614,0.4347826086956521
clean_442_main,S7_amt_chg,5,OOS,MID,194,0.0140131977107233,0.0562592857642939,0.7836011763221427,0.4845360824742268
clean_442_main,S7_amt_chg,5,OOS,HIGH,126,0.0083327116636614,0.0376337365169005,0.4224376446910955,0.5634920634920635
clean_442_main,S7_amt_chg,10,ALL,ALL,976,-0.0006047604102927,-0.0028079650732724,-0.0877236332139342,0.5
clean_442_main,S7_amt_chg,10,IS,ALL,569,-0.0034167095390575,-0.0168295609364124,-0.4014476491732979,0.5043936731107206
clean_442_main,S7_amt_chg,10,IS,LOW,237,-0.0168484504128925,-0.0795883767183911,-1.225247485594011,0.4725738396624472
clean_442_main,S7_amt_chg,10,IS,MID,163,-0.0218090957285438,-0.1189243737314836,-1.5183247632803631,0.5153374233128835
clean_442_main,S7_amt_chg,10,IS,HIGH,169,0.0331589208513871,0.1617239943096259,2.102411926025137,0.5384615384615384
clean_442_main,S7_amt_chg,10,OOS,ALL,407,0.0033264411972433,0.0143539810656537,0.2895806733542326,0.4938574938574938
clean_442_main,S7_amt_chg,10,OOS,LOW,92,-0.0245552845815198,-0.1207355955939216,-1.1580551506705312,0.4130434782608695
clean_442_main,S7_amt_chg,10,OOS,MID,189,0.023611256112621,0.0958075726275921,1.317136361147761,0.5396825396825397
clean_442_main,S7_amt_chg,10,OOS,HIGH,126,-0.0067426956865674,-0.0296602702164281,-0.3329357074470281,0.4841269841269841
clean_442_main,S7_amt_chg,20,ALL,ALL,966,-0.0035599247853711,-0.0166790581549354,-0.5183941430841054,0.505175983436853
clean_442_main,S7_amt_chg,20,IS,ALL,569,-0.0132195901119822,-0.0677991707706872,-1.617262495713886,0.4903339191564148
clean_442_main,S7_amt_chg,20,IS,LOW,237,0.0023684118212049,0.0118602590771372,0.1825863676573515,0.5611814345991561
clean_442_main,S7_amt_chg,20,IS,MID,163,-0.033713507379079,-0.1807169555125111,-2.3072396354914853,0.4478527607361963
clean_442_main,S7_amt_chg,20,IS,HIGH,169,-0.0153133649263527,-0.0783458222040344,-1.0184956886524474,0.4319526627218935
clean_442_main,S7_amt_chg,20,OOS,ALL,397,0.0102847844610815,0.0434009849972243,0.8647584998110912,0.5264483627204031
clean_442_main,S7_amt_chg,20,OOS,LOW,92,-0.0436632733351766,-0.2351621555634127,-2.2555961574823686,0.4347826086956521
clean_442_main,S7_amt_chg,20,OOS,MID,181,0.0561913392527359,0.2223348334662267,2.9912092620233564,0.6022099447513812
clean_442_main,S7_amt_chg,20,OOS,HIGH,124,-0.0166979986037064,-0.0706874600228125,-0.7871422416279746,0.4838709677419355
clean_442_main,S8_rank_chg20,5,ALL,ALL,975,0.0219884138699619,0.0747278384108402,2.33337600650168,0.5435897435897435
clean_442_main,S8_rank_chg20,5,IS,ALL,563,0.0295684332478131,0.1015643991854723,2.409881574561925,0.5595026642984015
clean_442_main,S8_rank_chg20,5,IS,LOW,235,0.0422762936683386,0.1524679104561041,2.3372888084124064,0.5617021276595745
clean_442_main,S8_rank_chg20,5,IS,MID,159,0.0442276251045386,0.1564507157869855,1.9727684630415605,0.6163522012578616
clean_442_main,S8_rank_chg20,5,IS,HIGH,169,-0.0018940442909018,-0.005993734949069,-0.0779185543378978,0.5029585798816568
clean_442_main,S8_rank_chg20,5,OOS,ALL,412,0.0116302805939176,0.0389628558823297,0.7908595988321597,0.5218446601941747
clean_442_main,S8_rank_chg20,5,OOS,LOW,92,0.0088951040614016,0.0360014506700629,0.3453137840169515,0.5543478260869565
clean_442_main,S8_rank_chg20,5,OOS,MID,194,-0.0113972745171642,-0.038737234120079,-0.5395472376086454,0.4742268041237113
clean_442_main,S8_rank_chg20,5,OOS,HIGH,126,0.0490825181537696,0.146257763631245,1.6417393249916554,0.5714285714285714
clean_442_main,S8_rank_chg20,10,ALL,ALL,970,0.021597557696127,0.0731734790983189,2.2789750551622,0.5360824742268041
clean_442_main,S8_rank_chg20,10,IS,ALL,563,0.0258998138329077,0.0926345764846204,2.1979981256027163,0.5506216696269982
clean_442_main,S8_rank_chg20,10,IS,LOW,235,0.0283291878479037,0.105408605703831,1.6158833270877084,0.548936170212766
clean_442_main,S8_rank_chg20,10,IS,MID,159,0.0142249698075453,0.0502297737960885,0.6333733479721021,0.5408805031446541
clean_442_main,S8_rank_chg20,10,IS,HIGH,169,0.0335057150548519,0.1147395109598386,1.4916136424779023,0.5621301775147929
clean_442_main,S8_rank_chg20,10,OOS,ALL,407,0.0156462795511454,0.0495639626490736,0.9999153274882112,0.515970515970516
clean_442_main,S8_rank_chg20,10,OOS,LOW,92,-0.0162023564347355,-0.0638698446558141,-0.61261802877888,0.5217391304347826
clean_442_main,S8_rank_chg20,10,OOS,MID,189,0.0174229486249895,0.0532506810287655,0.7320758298668008,0.4814814814814814
clean_442_main,S8_rank_chg20,10,OOS,HIGH,126,0.0362358355491178,0.1070212739985935,1.2013108211963868,0.5634920634920635
clean_442_main,S8_rank_chg20,20,ALL,ALL,960,0.0318327102499806,0.1099934045201435,3.408020991193373,0.5385416666666667
clean_442_main,S8_rank_chg20,20,IS,ALL,563,0.0312549756327066,0.1114855094263719,2.6452859186085096,0.5364120781527532
clean_442_main,S8_rank_chg20,20,IS,LOW,235,0.0567967512433767,0.2189059321451253,3.3557643950606333,0.5617021276595745
clean_442_main,S8_rank_chg20,20,IS,MID,159,0.007364717119426,0.0244436693108021,0.3082229422524549,0.5408805031446541
clean_442_main,S8_rank_chg20,20,IS,HIGH,169,0.0182149391540327,0.0635472166711876,0.8261138167254395,0.4970414201183432
clean_442_main,S8_rank_chg20,20,OOS,ALL,397,0.0326520165208251,0.1080693901262858,2.153267343749992,0.5415617128463476
clean_442_main,S8_rank_chg20,20,OOS,LOW,92,-0.0213863965297091,-0.0911900471945145,-0.8746642058956544,0.4782608695652174
clean_442_main,S8_rank_chg20,20,OOS,MID,181,0.0719728256548795,0.2342341267637299,3.1512978804738294,0.5911602209944752
clean_442_main,S8_rank_chg20,20,OOS,HIGH,124,0.0153493354513517,0.0462206518041707,0.514691395884074,0.5161290322580645
raw_469_pre_triage,S1_mom5,5,ALL,ALL,1021,0.0673708917331327,0.2272175994210667,7.260304544156013,0.5964740450538688
