000111.SH	380信息	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000111	1.0
000112.SH	380电信	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000112	1.0
000113.SH	380公用	SSE	中证指数有限公司	一级行业指数	2003-12-31	1000.0	2011-06-13	000113	1.0
000114.SH	持续产业	SSE	中证指数有限公司	主题指数	2011-06-30	1000.0	2011-08-22	000114	1.0
000115.SH	380等权	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2011-08-12	000115	1.0
000117.SH	380成长	SSE	中证指数有限公司	风格指数	2003-12-31	1000.0	2011-10-18	000117	1.0
000118.SH	380价值	SSE	中证指数有限公司	风格指数	2003-12-31	1000.0	2011-10-18	000118	1.0
000119.SH	380R成长	SSE	中证指数有限公司	风格指数	2003-12-31	1000.0	2011-10-18	000119	1.0
000120.SH	380R价值	SSE	中证指数有限公司	风格指数	2003-12-31	1000.0	2011-10-18	000120	1.0
000121.SH	医药主题	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2011-10-18	000121	1.0
000122.SH	上证农业	SSE	中证指数有限公司	主题指数	2011-06-30	1000.0	2011-10-18	000122	1.0
000123.SH	上证180动态	SSE	中证指数有限公司	策略指数	2002-06-28	3299.06	2013-02-08	000123	1.0
000125.SH	上证180稳定	SSE	中证指数有限公司	策略指数	2002-06-28	3299.06	2013-02-08	000125	1.0
000126.SH	消费50	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2011-12-09	000126	1.0
000128.SH	380基本	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2012-01-09	000128	1.0
000129.SH	180波动	SSE	中证指数有限公司	策略指数	2002-06-28	3299.06	2012-01-09	000129	1.0
000130.SH	380波动	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2012-01-09	000130	1.0
000131.SH	上证高新	SSE	中证指数有限公司	主题指数	2011-06-30	1000.0	2012-02-10	000131	1.0
000132.SH	上证100	SSE	中证指数有限公司	规模指数	2003-12-31	1000.0	2012-04-20	000132	1.0
000133.SH	上证150	SSE	中证指数有限公司	规模指数	2003-12-31	1000.0	2012-04-20	000133	1.0
000134.SH	上证银行	SSE	中证指数有限公司	主题指数	2007-12-31	1000.0	2012-05-29	000134	1.0
000135.SH	上证180高贝塔	SSE	中证指数有限公司	策略指数	2002-06-28	3299.06	2012-08-06	000135	1.0
000136.SH	上证180低贝塔	SSE	中证指数有限公司	策略指数	2002-06-28	3299.06	2012-08-06	000136	1.0
000137.SH	上证380高贝塔	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2012-08-06	000137	1.0
000138.SH	上证380低贝塔	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2012-08-06	000138	1.0
000141.SH	上证380动态	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2013-02-08	000141	1.0
000142.SH	上证380稳定	SSE	中证指数有限公司	策略指数	2003-12-31	1000.0	2013-02-08	000142	1.0
000145.SH	优势资源	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2012-05-29	000145	1.0
000146.SH	优势制造	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2012-05-29	000146	1.0
000147.SH	优势消费	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2012-05-29	000147	1.0
000148.SH	消费领先	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2012-05-29	000148	1.0
000149.SH	上证180红利	SSE	中证指数有限公司	策略指数	2004-12-31	1000.0	2012-07-20	000149	1.0
000150.SH	上证380红利	SSE	中证指数有限公司	策略指数	2004-12-31	1000.0	2012-07-20	000150	1.0
000151.SH	上证国企红利	SSE	中证指数有限公司	策略指数	2009-06-30	1000.0	2012-07-20	000151	1.0
000152.SH	上证央企红利	SSE	中证指数有限公司	策略指数	2008-12-31	1000.0	2012-07-20	000152	1.0
000153.SH	上证民企红利	SSE	中证指数有限公司	策略指数	2009-06-30	1000.0	2012-07-20	000153	1.0
000155.SH	上证市值百强	SSE	中证指数有限公司	规模指数	2003-12-31	1000.0	2012-07-20	000155	1.0
000158.SH	上证环保	SSE	中证指数有限公司	主题指数	2011-12-30	1000.0	2012-09-25	000158	1.0
000159.SH	沪股通	SSE	中证指数有限公司	主题指数	2003-12-31	1000.0	2014-11-17	000159	1.0
000160.SH	沪新丝路	SSE	中证指数有限公司	主题指数	2012-12-31	1000.0	2015-06-24	000160	1.0
000161.SH	沪中国造	SSE	中证指数有限公司	主题指数	2012-06-29	1000.0	2015-10-29	000161	1.0
000162.SH	沪互联+	SSE	中证指数有限公司	主题指数	2012-06-29	1000.0	2015-10-29	000162	1.0
000170.SH	50AH优选	SSE	中证指数有限公司	策略指数	2004-12-31	1000.0	2015-12-10	000170	1.0
000300.SH	沪深300	SSE	中证指数有限公司	规模指数	2004-12-31	1000.0	2005-04-08	000300	1.0
000510.SH	中证A500	SSE	中证指数有限公司	规模指数	2004-12-31	1000.0	2024-09-23	000510	1.0
000682.SH	科创信息	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2021-08-16	000682	1.0
000683.SH	科创生物	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2022-05-09	000683	1.0
000685.SH	科创芯片	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2022-06-13	000685	1.0
000687.SH	科创高装	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2022-08-15	000687	1.0
000688.SH	科创50	SSE	中证指数有限公司	规模指数	2019-12-31	1000.0	2020-07-23	000688	1.0
000689.SH	科创材料	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2022-08-15	000689	1.0
000690.SH	科创成长	SSE	中证指数有限公司	策略指数	2019-12-31	1000.0	2022-11-04	000690	1.0
000691.SH	科创ESG	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2024-03-21	000691	1.0
000692.SH	科创新能	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2023-04-03	000692	1.0
000693.SH	科创机械	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2023-04-03	000693	1.0
000695.SH	科长三角	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2023-04-03	000695	1.0
000697.SH	科大湾区	SSE	中证指数有限公司	主题指数	2019-12-31	1000.0	2023-04-03	000697	1.0
000698.SH	科创100	SSE	中证指数有限公司	规模指数	2019-12-31	1000.0	2023-08-07	000698	1.0
000699.SH	科创200	SSE	中证指数有限公司	规模指数	2022-12-30	1000.0	2024-08-20	000699	1.0
000802.SH	500沪市	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2011-11-08	000802	1.0
000814.SH	细分医药	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2012-04-11	000814	1.0
000819.SH	有色金属	SSE	中证指数有限公司	行业指数	2004-12-31	1000.0	2012-05-09	000819	1.0
000823.SH	800有色	SSE	中证指数有限公司	二级行业指数	2004-12-31	1000.0	2012-12-21	000823	1.0
000827.SH	中证环保	SSE	中证指数有限公司	主题指数	2011-12-30	1000.0	2012-09-25	000827	1.0
000847.SH	腾讯济安	SSE	中证指数有限公司	价值指数	2013-05-18	1000.0	2013-11-18	000847	1.0
000849.SH	300非银	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2012-12-21	000849	1.0
000851.SH	百发100	SSE	中证指数有限公司	策略指数	2008-12-31	1000.0	2014-07-30	000851	1.0
000852.SH	中证1000	SSE	中证指数有限公司	规模指数	2004-12-31	1000.0	2014-10-17	000852	1.0
000853.SH	CSSW丝路	SSE	中证指数有限公司	主题指数	2008-12-31	1000.0	2015-04-23	000853	1.0
000854.SH	中证500原料	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2013-11-06	000854	1.0
000855.SH	央视500	SSE	中证指数有限公司	主题指数	2009-12-31	1000.0	2014-11-03	000855	1.0
000856.SH	中证500工业	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2013-11-06	000856	1.0
000857.SH	中证500医药	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2013-11-06	000857	1.0
000858.SH	中证500信息	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2013-11-06	000858	1.0
000863.SH	CS精准医	SSE	中证指数有限公司	主题指数	2012-06-29	1000.0	2015-08-05	000863	1.0
000865.SH	上海国企	SSE	中证指数有限公司	主题指数	2012-12-31	1000.0	2016-05-11	000865	1.0
000867.SH	港中小企	SSE	中证指数有限公司	主题指数	2014-11-14	3000.0	2015-08-26	000867	1.0
000869.SH	HK银行(HKD)	SSE	中证指数有限公司	主题指数	2014-11-14	3000.0	2016-04-22	000869	1.0
000888.SH	上证收益	SSE	中证指数有限公司	综合指数	2020-07-21	3320.89	2020-10-09	000888	1.0
000901.SH	小康指数	SSE	中证指数有限公司	主题指数	2005-12-30	1000.0	2010-04-02	000901	1.0
000903.SH	中证100	SSE	中证指数有限公司	规模指数	2005-12-30	1000.0	2006-05-29	000903	1.0
000905.SH	中证500	SSE	中证指数有限公司	规模指数	2004-12-31	1000.0	2007-01-15	000905	1.0
000906.SH	中证800	SSE	中证指数有限公司	规模指数	2004-12-31	1000.0	2007-01-15	000906	1.0
000913.SH	300医药	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2007-07-02	000913	1.0
000914.SH	300金融	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2007-07-02	000914	1.0
000928.SH	800能源	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2009-07-03	000928	1.0
000932.SH	800消费	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2009-07-03	000932	1.0
000933.SH	800医药	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2009-07-03	000933	1.0
000934.SH	800金地	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2009-07-03	000934	1.0
000935.SH	800信息	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2009-07-03	000935	1.0
000974.SH	800金融	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2013-05-09	000974	1.0
000982.SH	500等权	SSE	中证指数有限公司	策略指数	2004-12-31	1000.0	2011-06-13	000982	1.0
000986.SH	全指能源	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2011-08-02	000986	1.0
000987.SH	全指材料	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2011-08-02	000987	1.0
000989.SH	全指可选	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2011-08-02	000989	1.0
000991.SH	全指医药	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2011-08-02	000991	1.0
000992.SH	金融地产	SSE	中证指数有限公司	主题指数	2004-12-31	1000.0	2011-08-02	000992	1.0
000993.SH	全指信息	SSE	中证指数有限公司	一级行业指数	2004-12-31	1000.0	2011-08-02	000993	1.0
399001.SZ	深证成指	SZSE	深圳证券交易所	规模指数	1994-07-20	1000.0	1995-01-23	399001	0.0
399002.SZ	深成指R	SZSE	深圳证券交易所	规模指数	1994-07-20	1000.0	1995-01-23	399002	0.0
399003.SZ	深成B指	SZSE	深圳证券交易所	规模指数	1994-07-20	1000.0	1995-01-23	399003	0.0
399004.SZ	深证100R	SZSE	深圳证券交易所	规模指数	2002-12-31	1000.0	2003-01-02	399004	0.0
399005.SZ	中小100	SZSE	深圳证券交易所	规模指数	2005-06-07	1000.0	2006-01-24	399005	0.0
399006.SZ	创业板指	SZSE	深圳证券交易所	规模指数	2010-05-31	1000.0	2010-06-01	399006	0.0
399007.SZ	深证300	SZSE	深圳证券交易所	规模指数	2004-12-31	1000.0	2009-11-04	399007	0.0
399008.SZ	中小300	SZSE	深圳证券交易所	规模指数	2010-03-19	1000.0	2010-03-22	399008	0.0
399009.SZ	深证200	SZSE	深圳证券交易所	规模指数	2004-12-31	1000.0	2011-09-01	399009	0.0
399010.SZ	深证700	SZSE	深圳证券交易所	规模指数	2004-12-31	1000.0	2011-09-01	399010	0.0
399011.SZ	深证1000	SZSE	深圳证券交易所	规模指数	2004-12-31	1000.0	2011-09-01	399011	0.0
399012.SZ	创业300	SZSE	深圳证券交易所	规模指数	2012-06-29	1000.0	2013-01-07	399012	0.0
399013.SZ	深市精选	SZSE	深圳证券交易所	主题指数	2004-12-31	1000.0	2014-05-30	399013	0.0
399015.SZ	中小创新	SZSE	深圳证券交易所	规模指数	2011-12-30	1000.0	2015-03-24	399015	0.0
399016.SZ	深证创新	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2016-12-01	399016	0.0
399017.SZ	SME创新	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2016-12-01	399017	0.0
399018.SZ	创业创新	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2016-12-01	399018	0.0
399019.SZ	创业200	SZSE	深圳证券交易所	规模指数	2012-06-29	1000.0	2023-11-15	399019	0.0
399020.SZ	创业小盘	SZSE	深圳证券交易所	规模指数	2018-06-29	1000.0	2023-11-15	399020	0.0
399030.SZ	碳科技30	SZSE	深圳证券交易所	主题指数	2014-12-31	1000.0	2021-09-26	399030	0.0
