880666.TDX	2025-12-19	可控核聚变	概念板块	102	2202.53	2138.95	20917.62	19889.54
880667.TDX	2025-12-19	数据要素	概念板块	384	4223.02	3961.06	52989.88	47797.73
880668.TDX	2025-12-19	知识付费	概念板块	22	245.34	226.65	2552.81	2383.83
880669.TDX	2025-12-19	算力租赁	概念板块	175	2946.0	2829.73	46631.42	44684.18
880670.TDX	2025-12-19	光通信	概念板块	115	1291.13	1242.31	36541.03	34390.79
880671.TDX	2025-12-19	中特估	概念板块	98	21674.92	20798.96	213142.95	206252.75
880672.TDX	2025-12-19	存储芯片	概念板块	160	1016.9	833.25	43212.56	37134.66
880673.TDX	2025-12-19	混合现实	概念板块	62	461.36	419.95	11781.17	10730.41
880674.TDX	2025-12-19	英伟达概念	概念板块	85	897.99	848.72	44287.62	42082.4
880675.TDX	2025-12-19	减速器	概念板块	126	1052.32	970.7	16302.77	14075.57
880676.TDX	2025-12-19	活跃ETF	风格板块	51	0	0	0	0
880677.TDX	2025-12-19	活跃可转债	风格板块	55	0	0	0	0
880678.TDX	2025-12-19	陆股通重仓	风格板块	100	2793.35	2717.97	119713.15	115857.91
880679.TDX	2025-12-19	周期股	风格板块	200	27226.61	25528.99	278057.88	265268.13
880680.TDX	2025-12-19	非周期股	风格板块	400	15090.35	14019.44	381080.16	353747.06
880681.TDX	2025-12-19	减肥药	概念板块	58	481.08	441.38	13502.24	12502.7
880682.TDX	2025-12-19	华为海思	概念板块	61	407.89	370.94	12492.11	11459.55
880683.TDX	2025-12-19	星闪概念	概念板块	70	497.17	424.92	11109.2	9738.57
880684.TDX	2025-12-19	BC电池	概念板块	42	542.79	500.51	8953.32	7985.53
880685.TDX	2025-12-19	液冷服务器	概念板块	166	1768.57	1685.03	62143.13	59328.35
880686.TDX	2025-12-19	华为汽车	概念板块	172	1579.84	1493.71	28273.84	26181.25
880687.TDX	2025-12-19	活跃小盘非融	风格板块	300	912.3	758.54	10280.62	8175.2
880688.TDX	2025-12-19	新型工业化	概念板块	282	1636.85	1496.89	32799.01	29186.74
880689.TDX	2025-12-19	华为算力	概念板块	111	823.8	750.07	14955.24	13435.37
880692.TDX	2025-12-19	短剧游戏	概念板块	66	849.02	790.14	8286.35	7596.07
880693.TDX	2025-12-19	多模态AI	概念板块	142	1336.07	1183.43	24616.69	21071.0
880694.TDX	2025-12-19	活跃小盘国企	风格板块	300	1545.18	1420.99	12767.58	11138.18
880695.TDX	2025-12-19	PEEK材料	概念板块	48	301.71	266.18	7604.18	6588.39
880696.TDX	2025-12-19	小米汽车概念	概念板块	131	1164.66	1045.36	43974.21	38605.28
880697.TDX	2025-12-19	飞行汽车	概念板块	127	1050.4	987.59	22201.98	20526.38
880698.TDX	2025-12-19	宽基ETF	风格板块	265	0	0	0	0
880701.TDX	2025-12-19	Sora概念	概念板块	35	249.18	230.39	3723.28	3507.69
880702.TDX	2025-12-19	壳资源	风格板块	53	215.86	206.78	1591.49	1512.18
880703.TDX	2025-12-19	人形机器人	概念板块	389	3173.08	2939.18	84514.16	75925.35
880704.TDX	2025-12-19	工业大麻	概念板块	53	602.71	575.37	5730.09	5446.44
880705.TDX	2025-12-19	氢能源	概念板块	377	8405.08	8170.26	93999.2	89733.15
880706.TDX	2025-12-19	分散染料	概念板块	18	150.15	138.28	1259.87	1156.33
880707.TDX	2025-12-19	宠物经济	概念板块	125	719.62	646.54	14452.25	13013.14
880708.TDX	2025-12-19	台资背景	风格板块	28	397.95	396.0	16505.25	16427.54
880709.TDX	2025-12-19	人造肉	概念板块	21	197.44	185.11	2705.3	2569.84
880710.TDX	2025-12-19	种业	概念板块	13	119.64	107.15	813.4	737.78
880711.TDX	2025-12-19	操作系统	概念板块	57	629.43	574.47	16785.96	15690.95
880712.TDX	2025-12-19	微小盘股	风格板块	600	1821.97	1661.15	19094.45	16300.04
880713.TDX	2025-12-19	ETC概念	概念板块	45	376.15	337.67	4198.03	3809.98
880714.TDX	2025-12-19	氟概念	概念板块	55	888.18	707.27	10404.76	8950.34
880715.TDX	2025-12-19	磷概念	概念板块	55	888.5	846.04	13195.74	12339.9
