trade_date,news_count,sentiment_index,quintile_tier,window
2011-01-14,1277,0.005294,2,exam
2011-01-17,3431,0.003626,2,exam
2011-01-18,1405,0.012014,4,exam
2011-01-19,1139,0.010009,4,exam
2011-01-20,1241,0.015149,5,exam
2011-01-21,1384,0.005029,2,exam
2011-01-24,3644,0.002217,1,exam
2011-01-25,1293,0.007239,3,exam
2011-01-26,1157,0.00522,2,exam
2011-01-27,1184,0.010405,4,exam
2011-01-28,1242,0.009243,3,exam
2011-01-31,3329,0.002968,1,exam
2011-02-01,686,0.009329,3,exam
2011-02-09,719,-0.005675,1,exam
2011-02-10,902,4.4e-05,1,exam
2011-02-11,4878,0.002304,1,exam
2011-02-14,1365,0.009172,3,exam
2011-02-15,1180,0.011186,4,exam
2011-02-16,3089,0.004584,2,exam
2011-02-17,1235,0.010429,4,exam
2011-02-18,1201,0.015887,5,exam
2011-02-21,3338,0.005249,2,exam
2011-02-22,1310,0.013832,5,exam
2011-02-23,1201,0.00453,2,exam
2011-02-24,1178,0.008353,3,exam
2011-02-25,1272,0.009151,3,exam
2011-02-28,3640,0.003352,2,exam
2011-03-01,1287,0.016348,5,exam
2011-03-02,1211,0.010966,4,exam
2011-03-03,2439,0.006773,3,exam
2011-03-04,2145,0.003786,2,exam
2011-03-07,3488,0.003761,2,exam
2011-03-08,1217,0.01341,4,exam
2011-03-09,1192,0.008826,3,exam
2011-03-10,1296,0.007932,3,exam
2011-03-11,1277,0.004792,2,exam
2011-03-14,3398,0.003002,1,exam
2011-03-15,1217,0.005653,2,exam
2011-03-16,1262,0.006973,3,exam
2011-03-17,1272,0.011478,4,exam
2011-03-18,1307,0.005937,2,exam
2011-03-21,3462,0.002172,1,exam
2011-03-22,1292,0.007307,3,exam
2011-03-23,1132,0.008481,3,exam
2011-03-24,1037,0.010569,4,exam
2011-03-25,1266,0.010142,4,exam
2011-03-28,3853,0.003488,2,exam
2011-03-29,1679,0.004407,2,exam
2011-03-30,1238,0.006688,2,exam
2011-03-31,1248,0.01016,4,exam
2011-04-01,1065,0.009164,3,exam
2011-04-06,3322,0.000132,1,exam
2011-04-07,1199,0.007106,3,exam
2011-04-08,1280,0.006813,3,exam
2011-04-11,5495,0.001274,1,exam
2011-04-12,1143,0.008189,3,exam
2011-04-13,1124,0.00758,3,exam
2011-04-14,1099,0.011028,4,exam
2011-04-15,1437,0.006402,2,exam
2011-04-18,3723,0.002213,1,exam
2011-04-19,1621,0.00612,2,exam
2011-04-20,1448,0.002155,1,exam
2011-04-21,1480,0.006919,3,exam
2011-04-22,1630,0.005644,2,exam
2011-04-25,3999,0.00183,1,exam
2011-04-26,1438,0.004145,2,exam
2011-04-27,1450,0.004772,2,exam
2011-04-28,1508,0.004324,2,exam
2011-04-29,1428,0.00605,2,exam
2011-05-03,5470,0.001762,1,exam
2011-05-04,1162,0.006575,2,exam
2011-05-05,1097,-0.000547,1,exam
2011-05-06,1088,0.006397,2,exam
2011-05-09,3515,0.002765,1,exam
2011-05-10,1241,0.011152,4,exam
2011-05-11,1261,0.012371,4,exam
2011-05-12,1222,0.001768,1,exam
2011-05-13,1177,0.005709,2,exam
2011-05-16,3642,0.002493,1,exam
2011-05-17,1217,0.005653,2,exam
2011-05-18,1181,0.0084,3,exam
2011-05-19,1330,0.009353,3,exam
2011-05-20,1201,0.006994,3,exam
2011-05-23,3768,0.002495,1,exam
2011-05-24,1116,-0.001254,1,exam
2011-05-25,1085,0.008848,3,exam
2011-05-26,1174,0.008279,3,exam
2011-05-27,1157,0.009784,3,exam
2011-05-30,3726,0.001793,1,exam
2011-05-31,1162,0.007539,3,exam
2011-06-01,1262,0.011791,4,exam
2011-06-02,1228,0.007199,3,exam
2011-06-03,1109,-0.000325,1,exam
2011-06-07,3518,0.002263,1,exam
2011-06-08,1135,0.014767,5,exam
2011-06-09,1085,0.009069,3,exam
2011-06-10,1201,0.003897,2,exam
2011-06-13,4709,0.00051,1,exam
2011-06-14,2527,0.000443,1,exam
2011-06-15,1032,0.01376,5,exam
2011-06-16,1128,0.005461,2,exam
2011-06-17,1177,0.003568,2,exam
2011-06-20,3538,0.002295,1,exam
2011-06-21,1144,0.01028,4,exam
2011-06-22,1125,0.01344,4,exam
2011-06-23,1011,0.010801,4,exam
2011-06-24,1136,0.008873,3,exam
2011-06-27,3648,0.005395,2,exam
2011-06-28,1125,0.00992,4,exam
2011-06-29,1157,0.005532,2,exam
2011-06-30,1106,0.007197,3,exam
2011-07-01,1165,0.012052,4,exam
2011-07-04,5629,0.002658,1,exam
2011-07-05,1085,0.014857,5,exam
2011-07-06,1137,0.011856,4,exam
2011-07-07,1049,-0.004995,1,exam
2011-07-08,1094,0.003583,2,exam
2011-07-11,3596,0.003804,2,exam
2011-07-12,1232,0.00724,3,exam
2011-07-13,1249,0.007238,3,exam
2011-07-14,1239,0.0123,4,exam
2011-07-15,1374,0.008967,3,exam
2011-07-18,3653,0.00403,2,exam
2011-07-19,1429,0.00781,3,exam
